"","Tracking.ID","Duration","Mean.Intensity","Var.Intensity","Track.Length","Dry.Mass","Mean.Speed"
"374",408,12,159.085764567057,212.905103331571,111.014793395996,273.030919392904,0.00500598123339428
"375",409,15,171.499168904622,78.524979884132,135.184707641602,233.23227742513,0.00536397223394098
"380",414,25,81.549677734375,162.087110278152,240.898132324219,429.026599121094,0.00326178386846247
"382",416,31,110.95279939713,163.966317600879,320.163146972656,269.532612462198,0.00556920520029962
"384",419,54,167.052136739095,432.41167954568,424.366607666016,331.49176590531,0.00444813262570193
"388",425,95,154.067578847785,629.755181764838,849.256896972656,393.917826441715,0.00472685460439645
"403",444,37,100.154091087547,85.9071066454606,336.879119873047,355.747617154508,0.00452779441386358
"405",446,21,136.782749357678,218.15123066642,223.648880004883,517.650335402716,0.00576559672481381
"416",458,49,101.632707401198,80.2252227256066,427.367065429688,402.224315409758,0.00494611495378195
"424",468,78,157.881302173321,718.422028126518,693.691223144531,661.782861562876,0.00485762202463645
"432",477,71,104.845246006066,248.583789488938,703.394348144531,321.817648014552,0.00558264555376289
"444",490,33,136.62837935939,132.794299841182,171.446136474609,290.829473322088,0.00297617717023968
"450",497,25,69.6957827758789,6.96193437784619,160.663116455078,307.924226074219,0.00291684307770386
"455",502,61,205.271290388264,4295.65330608156,375.317779541016,232.285066948562,0.0033702407614328
"463",511,14,172.08126940046,3651.09165722137,143.627090454102,479.813672746931,0.00555664263307475
"474",527,35,91.764985874721,47.2169984393474,428.510437011719,555.228637695313,0.00677463268477689
"484",538,40,118.800667953491,266.538880556793,264.27490234375,354.143088912964,0.00361944041408909
"486",540,19,71.2443719161184,83.1362131059351,187.818603515625,394.229903371711,0.00453750845756278
"512",566,14,130.415216718401,2604.66711784484,128.758514404297,284.531934465681,0.0035364634061877
"513",567,69,160.91477424511,2191.17369552995,578.719787597656,357.310609458149,0.00450454012046548
"531",587,63,106.384199717688,102.626256983882,201.631286621094,351.076157585023,0.00180673774546801
"541",598,26,73.7368181668795,17.6308951731973,259.012298583984,447.464524489183,0.00330267786281183
"568",628,31,69.2448613566737,80.4651729069837,248.34521484375,275.087654852098,0.00335247963957954
"569",629,12,144.007565180461,171.326831829391,129.554412841797,391.116269429525,0.00555672687055035
"576",637,56,217.059559413365,832.722020160592,413.467651367188,327.839925221035,0.00417649076341398
"580",642,41,88.402023873678,127.565978547081,365.928833007813,391.615073599467,0.00431704672664637
"581",645,56,137.921788215637,297.84533793879,512.686157226563,302.343508039202,0.00501966502792625
"582",647,56,226.866962432861,2567.74003693801,319.656036376953,399.220941271101,0.00322881317459343
"584",650,21,93.3271335420155,13.8562795645996,164.803970336914,536.705867222377,0.00383737341035158
"586",652,54,90.9107718291106,140.292017182422,439.495666503906,323.666643213343,0.00460693628811673
"587",653,19,169.450400101511,305.797291552578,209.079284667969,349.135817678351,0.00606499922772249
"604",672,54,116.722583276254,842.481060736613,469.988525390625,271.645159686053,0.00474694079855668
"621",689,24,74.5976905822754,306.95824623405,192.855911254883,342.485967636109,0.00372238069821438
"632",700,50,79.4189081573486,77.9880177581792,506.862854003906,296.596635131836,0.00566187716816785
"635",703,12,132.118446985881,24.6881802720284,20.0548152923584,133.484191258748,0.00101284194600091
"640",710,51,96.7651827943091,78.3294808310039,361.056640625,347.806657978133,0.00401198280160315
"647",717,19,174.96325924522,3332.77863646372,169.583419799805,394.211824115954,0.00504560931585729
"654",725,71,152.024999054385,318.808495606095,354.852874755859,230.40170717911,0.00281632065099465
"660",731,23,272.002221148947,2764.48911603853,207.147430419922,260.560195259426,0.00501963794456308
"677",750,13,99.8094764122596,91.8910070459074,81.7993774414063,249.661072951097,0.00365512091472434
"682",755,13,105.085476801945,58.6181807280846,116.839050292969,204.257415771484,0.00507719207477446
